# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	22465	23748	+					purA		USA300HOU_0017	1284		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	22465	23748	+	ABX28063.1			adenylosuccinate synthase	purA		USA300HOU_0017	1284	427	
gene	tRNA	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	24178	24252	+							USA300HOU_t0001	75		
tRNA		GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	24178	24252	+				tRNA-Glu			USA300HOU_t0001	75		
gene	tRNA	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	24260	24332	+							USA300HOU_t0002	73		
tRNA		GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	24260	24332	+				tRNA-Asp			USA300HOU_t0002	73		
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	24946	25653	+					yycF		USA300HOU_0018	708		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	24946	25653	+	ABX28064.1			response regulator VicR	yycF		USA300HOU_0018	708	235	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	25666	27492	+							USA300HOU_0019	1827		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	25666	27492	+	ABX28065.1			sensor histidine kinase VicK			USA300HOU_0019	1827	608	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	27485	28819	+					yycH		USA300HOU_0020	1335		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	27485	28819	+	ABX28066.1			hypothetical protein YycH	yycH		USA300HOU_0020	1335	444	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	28820	29608	+					yycI		USA300HOU_0021	789		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	28820	29608	+	ABX28067.1			hypothetical protein YycI	yycI		USA300HOU_0021	789	262	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	29998	30798	+							USA300HOU_0022	801		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	29998	30798	+	ABX28068.1			beta-lactamase			USA300HOU_0022	801	266	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	30984	33344	+							USA300HOU_0023	2361		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	30984	33344	+	ABX28069.1			possible 5'-nucleotidase			USA300HOU_0023	2361	786	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	33712	34191	+					orfX		USA300HOU_0024	480		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	33712	34191	+	ABX28070.1			hypothetical protein OrfX	orfX		USA300HOU_0024	480	159	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	34474	35769	+							USA300HOU_0025	1296		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	34474	35769	+	ABX28071.1			hypothetical protein			USA300HOU_0025	1296	431	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	35877	36551	-							USA300HOU_0026	675		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	35877	36551	-	ABX28072.1			IS431mec transposase			USA300HOU_0026	675	224	
gene	pseudogene	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	36587	36976	+							USA300HOU_0027	390		pseudo
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	37074	37304	+							USA300HOU_0028	231		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	37074	37304	+	ABX28073.1			hypothetical protein			USA300HOU_0028	231	76	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	37813	38556	+					ugpQ1		USA300HOU_0029	744		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	37813	38556	+	ABX28074.1			glycerophosphodiester phosphodiesterase	ugpQ1		USA300HOU_0029	744	247	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	38653	39081	+					maoC		USA300HOU_0030	429		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	38653	39081	+	ABX28075.1			possible acyl dehydratase MaoC	maoC		USA300HOU_0030	429	142	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	39127	41133	-					mecA		USA300HOU_0031	2007		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	39127	41133	-	ABX28076.1			penicillin binding protein 2 prime	mecA		USA300HOU_0031	2007	668	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	41305	42219	+					mecR1		USA300HOU_0032	915		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	41305	42219	+	ABX28077.1			methicillin resistance regulatory protein MecR1	mecR1		USA300HOU_0032	915	304	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	42143	42451	+					hsdR1		USA300HOU_0033	309		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	42143	42451	+	ABX28078.1			possible type I site-specific deoxyribonuclease restriction subunit	hsdR1		USA300HOU_0033	309	102	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	42442	43965	-							USA300HOU_0034	1524		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	42442	43965	-	ABX28079.1			IS1272 transposase			USA300HOU_0034	1524	507	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	44101	44610	-							USA300HOU_0035	510		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	44101	44610	-	ABX28080.1			hypothetical protein			USA300HOU_0035	510	169	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	44622	44933	-							USA300HOU_0036	312		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	44622	44933	-	ABX28081.1			hypothetical protein			USA300HOU_0036	312	103	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	44935	45027	-							USA300HOU_0037	93		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	44935	45027	-	ABX28082.1			hypothetical protein			USA300HOU_0037	93	30	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	45020	45370	-							USA300HOU_0038	351		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	45020	45370	-	ABX28083.1			hypothetical protein			USA300HOU_0038	351	116	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	45892	47520	-					ccrB		USA300HOU_0039	1629		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	45892	47520	-	ABX28084.1			cassette chromosome recombinase B	ccrB		USA300HOU_0039	1629	542	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	47542	48891	-					ccrA		USA300HOU_0040	1350		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	47542	48891	-	ABX28085.1			cassette chromosome recombinase A	ccrA		USA300HOU_0040	1350	449	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	49125	50912	-							USA300HOU_0041	1788		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	49125	50912	-	ABX28086.1			hypothetical protein			USA300HOU_0041	1788	595	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	50912	51202	-							USA300HOU_0042	291		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	50912	51202	-	ABX28087.1			hypothetical protein			USA300HOU_0042	291	96	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	51299	52390	+							USA300HOU_0043	1092		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	51299	52390	+	ABX28088.1			hypothetical membrane protein			USA300HOU_0043	1092	363	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	53063	54553	+							USA300HOU_0044	1491		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	53063	54553	+	ABX28089.1			possible transcriptional regulator			USA300HOU_0044	1491	496	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	55177	56181	-							USA300HOU_0045	1005		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	55177	56181	-	ABX28090.1			possible beta-lactamase			USA300HOU_0045	1005	334	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	56300	56437	+							USA300HOU_0046	138		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	56300	56437	+	ABX28091.1			hypothetical protein			USA300HOU_0046	138	45	
gene	pseudogene	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	56434	56805	+							USA300HOU_0047	372		pseudo
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	56934	57554	+							USA300HOU_0048	621		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	56934	57554	+	ABX28092.1			hypothetical membrane protein			USA300HOU_0048	621	206	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	58471	58641	-							USA300HOU_0049	171		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	58471	58641	-	ABX28093.1			hypothetical protein			USA300HOU_0049	171	56	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	59043	60008	+							USA300HOU_0050	966		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	59043	60008	+	ABX28094.1			hypothetical protein			USA300HOU_0050	966	321	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	60105	60296	+							USA300HOU_0051	192		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	60105	60296	+	ABX28095.1			hypothetical protein			USA300HOU_0051	192	63	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	60388	60717	+							USA300HOU_0052	330		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	60388	60717	+	ABX28096.1			hypothetical protein			USA300HOU_0052	330	109	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	60794	61162	-							USA300HOU_0053	369		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	60794	61162	-	ABX28097.1			hypothetical membrane protein			USA300HOU_0053	369	122	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	61393	61560	+							USA300HOU_0054	168		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	61393	61560	+	ABX28098.1			hypothetical protein			USA300HOU_0054	168	55	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	61724	62533	-							USA300HOU_0055	810		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	61724	62533	-	ABX28099.1			integrase			USA300HOU_0055	810	269	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	62553	62735	+							USA300HOU_0056	183		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	62553	62735	+	ABX28100.1			hypothetical protein			USA300HOU_0056	183	60	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	63046	63543	-							USA300HOU_0057	498		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	63046	63543	-	ABX28101.1			diamine N-acetyltransferase			USA300HOU_0057	498	165	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	63731	63859	-							USA300HOU_0058	129		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	63731	63859	-	ABX28102.1			hypothetical protein			USA300HOU_0058	129	42	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	64071	65168	+					adhC		USA300HOU_0059	1098		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	64071	65168	+	ABX28103.1			alcohol dehydrogenase	adhC		USA300HOU_0059	1098	365	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	65423	65647	-							USA300HOU_0060	225		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	65423	65647	-	ABX28104.1			hypothetical protein			USA300HOU_0060	225	74	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	65661	66164	-							USA300HOU_0061	504		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	65661	66164	-	ABX28105.1			hypothetical protein			USA300HOU_0061	504	167	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	66180	66506	-							USA300HOU_0062	327		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	66180	66506	-	ABX28106.1			hypothetical protein			USA300HOU_0062	327	108	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	66493	66585	-							USA300HOU_0063	93		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	66493	66585	-	ABX28107.1			hypothetical protein			USA300HOU_0063	93	30	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	66578	66928	-							USA300HOU_0064	351		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	66578	66928	-	ABX28108.1			hypothetical protein			USA300HOU_0064	351	116	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	67885	68736	+							USA300HOU_0065	852		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	67885	68736	+	ABX28109.1			transposase			USA300HOU_0065	852	283	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	68836	69765	-					arcC1		USA300HOU_0066	930		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	68836	69765	-	ABX28110.1			carbamate kinase	arcC1		USA300HOU_0066	930	309	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	69785	70783	-					arcB1		USA300HOU_0067	999		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	69785	70783	-	ABX28111.1			ornithine carbamoyltransferase	arcB1		USA300HOU_0067	999	332	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	70821	71510	-							USA300HOU_0068	690		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	70821	71510	-	ABX28112.1			Crp family transcriptional regulator			USA300HOU_0068	690	229	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	71552	72973	-					arcD1		USA300HOU_0069	1422		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	71552	72973	-	ABX28113.1			arginine/ornithine APC family amino acid-polyamine-organocation transporter, antiporter	arcD1		USA300HOU_0069	1422	473	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	73059	74294	-					arcA1		USA300HOU_0070	1236		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	73059	74294	-	ABX28114.1			arginine deiminase	arcA1		USA300HOU_0070	1236	411	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	74563	75009	-					argR1		USA300HOU_0071	447		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	74563	75009	-	ABX28115.1			arginine repressor	argR1		USA300HOU_0071	447	148	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	75511	75942	+							USA300HOU_0072	432		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	75511	75942	+	ABX28116.1			universal stress protein			USA300HOU_0072	432	143	
gene	pseudogene	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	76019	76171	-							USA300HOU_0073	153		pseudo
gene	pseudogene	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	76215	76888	+							USA300HOU_0074	674		pseudo
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	77076	77891	+							USA300HOU_0075	816		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	77076	77891	+	ABX28117.1			lysophospholipase			USA300HOU_0075	816	271	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	78378	79391	+							USA300HOU_0076	1014		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	78378	79391	+	ABX28118.1			transposase			USA300HOU_0076	1014	337	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	79651	80343	+							USA300HOU_0077	693		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	79651	80343	+	ABX28119.1			possible S-adenosyl-L-methionine-dependent methyltransferase			USA300HOU_0077	693	230	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	80340	81893	+							USA300HOU_0078	1554		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	80340	81893	+	ABX28120.1			nickel (Ni2+)/peptide ABC superfamily ATP binding cassette transporter, binding protein			USA300HOU_0078	1554	517	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	81896	82852	+							USA300HOU_0079	957		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	81896	82852	+	ABX28121.1			nickel (Ni2+)/peptide ABC superfamily ATP binding cassette transporter, membrane protein			USA300HOU_0079	957	318	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	82852	83619	+							USA300HOU_0080	768		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	82852	83619	+	ABX28122.1			nickel (Ni2+)/peptide ABC superfamily ATP binding cassette transporter, membrane protein			USA300HOU_0080	768	255	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	83586	84353	+							USA300HOU_0081	768		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	83586	84353	+	ABX28123.1			nickel (Ni2+)/peptide ABC superfamily ATP binding cassette transporter, ABC protein			USA300HOU_0081	768	255	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	84346	84981	+							USA300HOU_0082	636		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	84346	84981	+	ABX28124.1			nickel (Ni2+)/peptide ABC superfamily ATP binding cassette transporter, ABC protein			USA300HOU_0082	636	211	
gene	pseudogene	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	85681	85881	-							USA300HOU_0083	201		pseudo
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	86040	88064	+							USA300HOU_0084	2025		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	86040	88064	+	ABX28125.1			P-ATPase superfamily P-type ATPase copper (Cu2+) transporter			USA300HOU_0084	2025	674	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	88082	88627	+							USA300HOU_0085	546		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	88082	88627	+	ABX28126.1			possible lipoprotein			USA300HOU_0085	546	181	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	88819	88956	-							USA300HOU_0086	138		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	88819	88956	-	ABX28127.1			hypothetical protein			USA300HOU_0086	138	45	
gene	pseudogene	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	89392	91139	+							USA300HOU_0087	1748		pseudo
gene	pseudogene	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	91233	91685	-							USA300HOU_0088	453		pseudo
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	91701	91799	-							USA300HOU_0089	99		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	91701	91799	-	ABX28128.1			hypothetical protein			USA300HOU_0089	99	32	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	91900	92655	-							USA300HOU_0090	756		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	91900	92655	-	ABX28129.1			hypothetical membrane protein			USA300HOU_0090	756	251	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	92655	92915	-							USA300HOU_0091	261		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	92655	92915	-	ABX28130.1			hypothetical protein			USA300HOU_0091	261	86	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	93052	94119	+							USA300HOU_0092	1068		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	93052	94119	+	ABX28131.1			hypothetical protein			USA300HOU_0092	1068	355	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	94150	95484	+							USA300HOU_0093	1335		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	94150	95484	+	ABX28132.1			hypothetical protein			USA300HOU_0093	1335	444	
gene	pseudogene	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	95503	96696	+							USA300HOU_0094	1194		pseudo
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	96963	97064	-							USA300HOU_0095	102		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	96963	97064	-	ABX28133.1			hypothetical protein			USA300HOU_0095	102	33	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	97363	98349	-							USA300HOU_0096	987		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	97363	98349	-	ABX28134.1			possible tRNA-dihydrouridine synthase			USA300HOU_0096	987	328	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	98658	98861	+							USA300HOU_0097	204		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	98658	98861	+	ABX28135.1			hypothetical protein			USA300HOU_0097	204	67	
