# Program:featureCounts v2.0.6; Command:"featureCounts" "-t" "CDS" "-p" "-g" "gene_id" "-F" "GTF" "-a" "data/reference_genome/S_aureus_CP000730.gtf" "-o" "data/processed_data/counts_files/all_samples_counts.txt" "data/processed_data/bam_files/ERR2713020.bam" "data/processed_data/bam_files/ERR2713021.bam" "data/processed_data/bam_files/ERR2713022.bam" "data/processed_data/bam_files/ERR2713023.bam" "data/processed_data/bam_files/ERR2713024.bam" "data/processed_data/bam_files/ERR2713025.bam" 
Geneid	Chr	Start	End	Strand	Length	data/processed_data/bam_files/ERR2713020.bam	data/processed_data/bam_files/ERR2713021.bam	data/processed_data/bam_files/ERR2713022.bam	data/processed_data/bam_files/ERR2713023.bam	data/processed_data/bam_files/ERR2713024.bam	data/processed_data/bam_files/ERR2713025.bam
USA300HOU_0143	CP000730.1	151170	152405	+	1236	70	22	20	198	118	233
USA300HOU_0144	CP000730.1	152398	153825	+	1428	492	377	444	730	493	1189
USA300HOU_0145	CP000730.1	154096	154692	+	597	3411	3251	3046	1832	1263	2385
USA300HOU_0146	CP000730.1	155063	155785	+	723	12816	11615	12612	16024	13344	60512
USA300HOU_0147	CP000730.1	155983	156735	-	753	248	181	185	907	544	1367
USA300HOU_0148	CP000730.1	156971	157675	+	705	249	274	213	224	207	902
USA300HOU_0149	CP000730.1	157685	159034	+	1350	895	910	730	539	272	701
USA300HOU_0150	CP000730.1	159118	159777	+	660	2688	2571	2890	1602	931	2312
USA300HOU_0151	CP000730.1	159808	160983	+	1176	7786	7726	7475	4413	2603	5414
USA300HOU_0152	CP000730.1	161120	161932	-	813	73	43	16	126	84	169
USA300HOU_0153	CP000730.1	161932	162654	-	723	34	20	23	60	47	93
USA300HOU_0154	CP000730.1	162734	163504	-	771	26	12	6	59	26	85
USA300HOU_0155	CP000730.1	163721	164674	-	954	38	9	11	66	24	45
USA300HOU_0156	CP000730.1	164903	166444	+	1542	81	23	30	119	47	116
USA300HOU_0157	CP000730.1	166498	168030	+	1533	339	297	240	544	321	887
USA300HOU_0160	CP000730.1	169537	169860	+	324	119	39	41	148	115	226
USA300HOU_0162	CP000730.1	171101	173707	+	2607	143	73	72	442	289	784
USA300HOU_0163	CP000730.1	174055	174720	+	666	55	4	10	25	24	34
USA300HOU_0164	CP000730.1	174739	175422	+	684	40	11	13	74	31	78
USA300HOU_0165	CP000730.1	175428	176189	+	762	52	7	23	50	19	58
USA300HOU_0167	CP000730.1	178026	179051	+	1026	85	47	20	47	33	50
USA300HOU_0168	CP000730.1	179061	180173	+	1113	109	53	52	70	43	61
USA300HOU_0170	CP000730.1	181307	181930	+	624	42	33	44	67	26	56
USA300HOU_0171	CP000730.1	181938	183044	+	1107	102	77	71	167	101	165
USA300HOU_0172	CP000730.1	183061	184224	+	1164	138	73	73	207	123	159
USA300HOU_0173	CP000730.1	184220	185422	+	1203	115	79	100	123	62	92
USA300HOU_0174	CP000730.1	185426	186628	+	1203	228	163	175	155	108	177
USA300HOU_0175	CP000730.1	186642	187196	+	555	152	121	107	132	81	135
USA300HOU_0176	CP000730.1	187199	188083	+	885	257	204	239	224	105	251
USA300HOU_0177	CP000730.1	188140	189399	+	1260	394	370	390	417	221	426
USA300HOU_0178	CP000730.1	189449	190621	+	1173	686	530	565	828	471	867
USA300HOU_0179	CP000730.1	190692	191009	-	318	1083	962	1022	161	80	241
USA300HOU_0180	CP000730.1	191025	191405	-	381	883	647	833	165	96	262
USA300HOU_0181	CP000730.1	191832	193316	+	1485	69182	48969	68140	554	459	1281
USA300HOU_0182	CP000730.1	193965	194921	+	957	643	487	451	285	209	373
USA300HOU_0183	CP000730.1	194989	195189	-	201	85	44	60	45	30	122
USA300HOU_0184	CP000730.1	195368	195877	+	510	785	957	707	100	65	137
USA300HOU_0185	CP000730.1	196222	196959	+	738	550	546	479	115	44	101
USA300HOU_0186	CP000730.1	196976	197947	+	972	673	714	604	140	81	144
USA300HOU_0187	CP000730.1	197947	198705	+	759	607	511	413	119	89	166
USA300HOU_0189	CP000730.1	199970	200326	+	357	859	971	789	911	496	928
USA300HOU_0190	CP000730.1	200496	201524	+	1029	137	119	119	230	137	246
USA300HOU_0191	CP000730.1	201913	203160	+	1248	284	226	237	612	415	853
USA300HOU_0192	CP000730.1	203592	210782	+	7191	3545	3320	3440	6511	3371	7231
USA300HOU_0193	CP000730.1	210798	211439	+	642	553	503	592	1084	669	1397
USA300HOU_0194	CP000730.1	211773	212264	-	492	142	96	132	827	670	2786
USA300HOU_0195	CP000730.1	212522	213283	-	762	82	59	71	377	219	415
USA300HOU_0196	CP000730.1	213302	214540	-	1239	109	78	86	441	231	530
USA300HOU_0197	CP000730.1	214555	215586	-	1032	65	43	41	216	151	310
USA300HOU_0198	CP000730.1	215625	216833	-	1209	87	46	29	209	126	261
USA300HOU_0199	CP000730.1	217062	218414	-	1353	1521	1373	1076	4076	2478	5586
USA300HOU_0200	CP000730.1	218693	219247	-	555	9453	8146	8369	663	366	821
USA300HOU_0201	CP000730.1	219317	220954	-	1638	29090	22430	24503	2195	1335	2444
USA300HOU_0202	CP000730.1	221148	221246	+	99	6	3	3	20	16	31
USA300HOU_0203	CP000730.1	221231	223288	-	2058	5181	4255	4452	29396	16994	44869
USA300HOU_0204	CP000730.1	223859	224911	+	1053	438	335	316	522	382	1783
USA300HOU_0205	CP000730.1	224914	225807	+	894	334	242	239	234	165	488
USA300HOU_0206	CP000730.1	225822	227273	+	1452	826	591	629	378	200	665
USA300HOU_0207	CP000730.1	227276	228151	+	876	724	618	659	206	110	389
USA300HOU_0208	CP000730.1	228842	231628	+	2787	2226	1878	1714	5778	3347	8400
USA300HOU_0209	CP000730.1	231836	232675	+	840	726	688	694	2118	1421	3680
USA300HOU_0210	CP000730.1	232680	233600	+	921	832	755	735	1462	870	2316
USA300HOU_0211	CP000730.1	233590	234699	+	1110	1619	1478	1301	1720	985	2261
USA300HOU_0212	CP000730.1	234970	236559	-	1590	912	879	841	285	183	386
USA300HOU_0213	CP000730.1	236558	237991	+	1434	170	105	103	126	84	194
USA300HOU_0214	CP000730.1	238000	239160	+	1161	315	229	134	61	35	83
USA300HOU_0215	CP000730.1	239180	240952	+	1773	959	836	696	150	116	190
USA300HOU_0216	CP000730.1	240993	242996	+	2004	2977	2691	2252	621	340	814
USA300HOU_0217	CP000730.1	243300	244070	-	771	5261	5026	5023	324	156	432
USA300HOU_0218	CP000730.1	244263	244886	-	624	48113	55028	56805	1092	718	1666
USA300HOU_0219	CP000730.1	245083	245670	+	588	2449	1715	2395	155	82	197
USA300HOU_0220	CP000730.1	246056	247150	+	1095	305	169	169	708	500	1856
USA300HOU_0221	CP000730.1	247166	248434	+	1269	682	601	556	647	385	1670
USA300HOU_0222	CP000730.1	248440	249705	+	1266	1249	1298	1204	427	201	1080
USA300HOU_0223	CP000730.1	249710	250546	+	837	1232	1121	1038	252	156	431
USA300HOU_0224	CP000730.1	250620	251696	+	1077	1705	2083	1951	438	218	554
USA300HOU_0225	CP000730.1	251724	252761	+	1038	1586	1921	1723	406	191	452
USA300HOU_0226	CP000730.1	252819	253784	+	966	2180	2696	2360	536	257	609
USA300HOU_0227	CP000730.1	253975	254073	+	99	102	174	124	36	25	64
USA300HOU_0228	CP000730.1	254152	254721	-	570	31	29	19	1474	1007	1417
USA300HOU_0229	CP000730.1	254858	256252	+	1395	220	147	415	317	425	3434
USA300HOU_0230	CP000730.1	256617	257372	-	756	216	215	190	598	399	785
USA300HOU_0231	CP000730.1	257368	258921	-	1554	187	168	184	881	540	1032
USA300HOU_0232	CP000730.1	258921	259886	-	966	124	55	53	387	244	690
USA300HOU_0233	CP000730.1	260459	262720	+	2262	1086	815	8177	2898	2680	13211
USA300HOU_0234	CP000730.1	262746	263498	+	753	250	306	1760	346	209	669
USA300HOU_0235	CP000730.1	263605	263796	+	192	18	7	40	39	16	47
USA300HOU_0236	CP000730.1	263786	265597	+	1812	152	94	141	1099	644	1196
USA300HOU_0237	CP000730.1	265767	266108	-	342	75	68	50	230	230	629
USA300HOU_0238	CP000730.1	266298	268124	+	1827	317	197	184	5161	3005	6629
USA300HOU_0239	CP000730.1	268312	268416	-	105	12	7	14	109	61	152
USA300HOU_0240	CP000730.1	268733	269923	-	1191	423	456	447	117	74	206
USA300HOU_0241	CP000730.1	269947	272205	-	2259	604	714	647	118	63	137
USA300HOU_0242	CP000730.1	272394	273647	-	1254	332	395	387	38	3	52
USA300HOU_0243	CP000730.1	273717	275219	-	1503	550	490	507	59	50	134
USA300HOU_0244	CP000730.1	275248	276822	-	1575	1507	1018	1137	421	258	767
USA300HOU_0245	CP000730.1	277176	278402	+	1227	262	160	172	1088	659	1186
USA300HOU_0246	CP000730.1	278722	280194	-	1473	285	213	335	273	177	362
USA300HOU_0247	CP000730.1	280395	280748	-	354	76	49	146	96	53	181
USA300HOU_0248	CP000730.1	280908	281078	-	171	249	250	387	60	39	96
USA300HOU_0249	CP000730.1	281107	282249	-	1143	3471	2937	5283	732	468	1458
USA300HOU_0250	CP000730.1	282404	282508	+	105	2	3	3	10	4	9
USA300HOU_0251	CP000730.1	282822	283772	+	951	620	206	1403	12330	10987	50737
USA300HOU_0252	CP000730.1	284098	285624	-	1527	286	235	250	1346	818	1287
USA300HOU_0253	CP000730.1	285986	286918	+	933	186	135	100	630	386	455
USA300HOU_0254	CP000730.1	287031	287126	+	96	1	1	0	0	2	5
USA300HOU_0255	CP000730.1	287260	289353	+	2094	113	48	72	123	82	156
USA300HOU_0256	CP000730.1	289341	289805	+	465	21	7	23	18	9	20
USA300HOU_0257	CP000730.1	289831	290106	+	276	12	18	4	19	11	17
USA300HOU_0258	CP000730.1	290336	291592	+	1257	136	113	87	87	33	78
USA300HOU_0259	CP000730.1	291610	292665	+	1056	158	149	180	112	52	90
USA300HOU_0260	CP000730.1	292670	292813	+	144	31	34	36	13	11	14
USA300HOU_0261	CP000730.1	292840	293880	+	1041	413	342	395	229	139	363
USA300HOU_0262	CP000730.1	294411	295124	+	714	1426	1081	1140	2497	1563	3723
USA300HOU_0263	CP000730.1	295120	296142	+	1023	1868	1486	1555	4186	2228	4752
USA300HOU_0264	CP000730.1	296167	297858	+	1692	4632	4016	4185	7141	4086	8638
USA300HOU_0265	CP000730.1	298289	299455	+	1167	822	572	642	1928	1084	2404
USA300HOU_0266	CP000730.1	299734	300447	+	714	1627	1490	1419	2183	1080	3005
USA300HOU_0267	CP000730.1	300443	301465	+	1023	4196	4465	3834	4632	2467	5214
USA300HOU_0268	CP000730.1	301490	303175	+	1686	8898	9353	8456	10575	5995	11715
USA300HOU_0269	CP000730.1	303211	304932	+	1722	13853	13638	13625	20116	11690	24517
USA300HOU_0270	CP000730.1	305075	305746	+	672	229	221	211	449	242	822
USA300HOU_0271	CP000730.1	305996	307747	+	1752	433	306	254	1724	890	1836
USA300HOU_0272	CP000730.1	307753	308490	+	738	67	34	26	631	272	376
USA300HOU_0273	CP000730.1	308606	309046	+	441	31	47	42	80	80	981
USA300HOU_0274	CP000730.1	309042	309740	+	699	194	179	193	205	150	731
USA300HOU_0275	CP000730.1	309854	310555	-	702	260	306	237	1747	1093	2260
USA300HOU_0276	CP000730.1	310704	311492	+	789	112	72	74	115	68	122
USA300HOU_0277	CP000730.1	311511	312944	+	1434	191	124	88	348	195	343
USA300HOU_0278	CP000730.1	313019	313207	+	189	83	63	68	91	49	92
USA300HOU_0279	CP000730.1	313384	314142	-	759	83	58	67	179	95	227
USA300HOU_0280	CP000730.1	314396	315307	-	912	234	163	198	471	301	871
USA300HOU_0281	CP000730.1	315338	315739	-	402	98	50	78	216	153	457
USA300HOU_0282	CP000730.1	315757	316635	-	879	128	105	83	468	312	1128
USA300HOU_0283	CP000730.1	316870	317865	-	996	187	122	102	452	285	824
USA300HOU_0284	CP000730.1	318016	318192	+	177	35	4	1	10	9	19
USA300HOU_0285	CP000730.1	318245	318634	+	390	101	104	89	474	269	654
USA300HOU_0286	CP000730.1	318865	319266	+	402	643	437	582	176	91	238
USA300HOU_0287	CP000730.1	319313	320695	-	1383	2364	1474	2239	528	271	952
USA300HOU_0288	CP000730.1	320920	321909	+	990	2222	2157	2091	300	149	331
USA300HOU_0289	CP000730.1	322220	323185	+	966	3201	2823	3017	657	392	958
USA300HOU_0290	CP000730.1	323243	323899	-	657	91	69	50	627	393	711
USA300HOU_0291	CP000730.1	323916	324833	-	918	75	56	27	677	319	699
USA300HOU_0292	CP000730.1	324833	325996	-	1164	68	37	33	656	395	629
USA300HOU_0293	CP000730.1	326067	327587	-	1521	110	112	84	3026	1654	2956
USA300HOU_0294	CP000730.1	327858	328508	+	651	67	21	25	181	111	284
USA300HOU_0295	CP000730.1	328545	329129	+	585	57	34	45	316	166	366
USA300HOU_0296	CP000730.1	329278	330177	-	900	54	19	32	285	230	478
USA300HOU_0297	CP000730.1	330416	330706	+	291	6964	7353	8221	6464	4711	11527
USA300HOU_0298	CP000730.1	330793	333819	+	3027	121	72	65	1300	735	1385
USA300HOU_0299	CP000730.1	333822	334277	+	456	33	17	25	250	170	266
USA300HOU_0300	CP000730.1	334252	334491	+	240	5	6	4	29	19	20
USA300HOU_0301	CP000730.1	334507	335838	+	1332	52	25	18	185	101	141
USA300HOU_0302	CP000730.1	335863	340299	+	4437	307	159	153	1022	480	712
USA300HOU_0303	CP000730.1	340332	340721	+	390	71	34	23	129	60	88
USA300HOU_0304	CP000730.1	340740	341051	+	312	78	27	16	109	55	82
USA300HOU_0305	CP000730.1	341051	341725	+	675	77	38	38	216	109	158
USA300HOU_0306	CP000730.1	341728	342042	+	315	30	16	22	116	39	74
USA300HOU_0307	CP000730.1	342055	343896	+	1842	1033	731	994	2773	1408	2739
USA300HOU_0308	CP000730.1	343910	344398	+	489	1900	1814	1983	2827	1480	3168
USA300HOU_0309	CP000730.1	344609	345289	+	681	82	40	58	328	166	359
USA300HOU_0310	CP000730.1	345439	346047	+	609	120	63	68	534	260	543
USA300HOU_0311	CP000730.1	346186	346401	+	216	50	43	47	257	128	382
USA300HOU_0312	CP000730.1	346536	347033	+	498	90	22	14	56	43	81
USA300HOU_0313	CP000730.1	347047	347544	+	498	69	29	24	110	59	106
USA300HOU_0315	CP000730.1	348064	348552	+	489	141	81	63	178	81	193
USA300HOU_0316	CP000730.1	348765	349445	+	681	109	66	63	209	117	223
USA300HOU_0317	CP000730.1	350034	350531	+	498	190	156	128	1604	659	771
USA300HOU_0318	CP000730.1	350546	351043	+	498	196	166	141	1138	499	776
USA300HOU_0319	CP000730.1	351568	352065	+	498	198	153	116	1154	568	881
USA300HOU_0320	CP000730.1	352079	352564	+	486	116	66	70	653	290	567
USA300HOU_0321	CP000730.1	352588	352698	+	111	18	6	1	87	32	78
USA300HOU_0322	CP000730.1	353187	353561	+	375	53	40	36	440	244	515
USA300HOU_0323	CP000730.1	353717	354112	+	396	172	157	147	570	296	899
USA300HOU_0324	CP000730.1	354334	355176	-	843	169	67	112	499	415	1406
USA300HOU_0325	CP000730.1	355395	356699	-	1305	5277	3390	4783	5165	2917	6074
USA300HOU_0326	CP000730.1	356620	356856	+	237	15	5	8	12	8	13
USA300HOU_0327	CP000730.1	357283	358170	+	888	23	2	2	390	206	211
USA300HOU_0328	CP000730.1	358422	359468	+	1047	1638	1599	1579	1319	680	1708
USA300HOU_0329	CP000730.1	359484	360158	+	675	1679	1545	1648	1063	587	1426
USA300HOU_0330	CP000730.1	360369	361397	+	1029	603	436	423	4357	2301	4938
USA300HOU_0331	CP000730.1	361743	362858	+	1116	138	31	27	77	34	59
USA300HOU_0332	CP000730.1	362836	363756	+	921	114	51	64	65	32	80
USA300HOU_0333	CP000730.1	363770	364987	+	1218	142	127	108	115	64	136
USA300HOU_0334	CP000730.1	365098	366627	-	1530	163	111	157	165	149	423
USA300HOU_0335	CP000730.1	366670	367548	-	879	64	61	32	102	70	345
USA300HOU_0336	CP000730.1	367664	368563	+	900	236	166	176	89	50	187
USA300HOU_0337	CP000730.1	368847	369644	-	798	746	514	690	435	261	705
USA300HOU_0338	CP000730.1	369784	370449	+	666	228	185	204	280	176	462
